Key,Type,Summary,Status,Priority,Resolution,Assignee,Reporter,Labels,Components,Created,Updated,Description,URL
G40-50,Bug,Gopher App - Account - Payment Account - Enter Debit/CC Error,Done,Highest,Done,Wilson Correa Padilla,John Newbury,"Gopher-App, Gopher-Requestor",,2025-07-01,2025-12-24,"### **As a** Gopher App user adding my debit or credit card information, ### **I want** to be able to easily tap and enter my card details in all required fields, including the **CVC code**, ### **So that** I can successfully save my payment method without frustration or input errors. ‌ ### **💡Context / Background** ‌ * Since the **June 2025 Apple iOS update**, users have reported issues when attempting to add a **debit or credit card** in the **Gopher App → Account → Payment Account** section. * The **tap area** for the card number and especially the **CVC input field** has become **extremely difficult or unresponsive** to interact with. * This prevents users from completing card entry, affecting their ability to add or update payment methods. ‌ ### **✅ Acceptance Criteria (Given / When / Then)** ‌ **Scenario 1 – Card input fields responsive** * **Given** the user navigates to **Account → Payment Account**, * **When** they tap on any debit or credit card input field (card number, expiry, CVC), * **Then** the input cursor should reliably activate in the selected field, * **And** the keyboard should appear immediately for text entry. ‌ **Scenario 2 – CVC input specifically** * **Given** the user attempts to tap into the **CVC field**, * **When** tapping anywhere within its visible area, * **Then** the tap target should register correctly, allowing input focus without repeated attempts. ‌ **Scenario 3 – Cross-device consistency** * **Given** the app is running on different devices and OS versions, * **When** users enter payment information, * **Then** all input fields should respond consistently across iOS, Android, and web (if applicable). ‌ ### **⚙️ Business Rules** ‌ * The issue was first identified after the **June 2025 iOS update** and may relate to layout or framework compatibility (e.g., iOS tap target sizing). * Minimum tap area must comply with Apple’s accessibility guidelines (44x44pt). * No changes to payment processing logic — only UI responsiveness. * Ensure the fix maintains PCI compliance and secure entry behavior. ‌ ### **🔍 Example** | **Field** | **Current Behavior** | **Expected Behavior** | | --- | --- | --- | | Card number | Difficult to tap / activate | Tap reliably activates input cursor | | Expiration date | Occasionally responsive | Always responsive and easy to select | | CVC | Nearly impossible to engage | Fully tappable area, easy to enter CVC | ‌ ### **🧪 QA Notes:** ‌ * Test on multiple iPhone models and iOS versions (pre- and post–June ’25). * Confirm that all card fields (number, expiry, CVC) respond on first tap. * Validate keyboard pop-up timing and cursor positioning. * Ensure no new visual misalignments introduced by the fix.",https://gopherapp.atlassian.net/browse/G40-50
G40-55,Bug,Both Apps - Account - My Profile - Getting General Error message when an existing email is attempted to be added.,Canceled,Low,Done,,Vikrant Kumar Kashyap,spine,"Gopher App (Requestor), Gopher Go App",2024-12-20,2026-06-15,"When a useR tries to enter an email address that is already in use, user is getting wrong error showing when tapping on email confirmation. Error message should say, “**This email is already a registered email. Please use another email address. This may also represent you have another account. Only 1 account per user is allowed on the platform. Please contact our Help Center if you need support**” ![](blob:https://media.staging.atl-paas.net/?type=file&localId=null&id=9660389a-6ab5-4dee-975d-d17420a1a740&&collection=&height=4080&occurrenceKey=null&width=1836&__contextId=null&__displayType=null&__external=false&__fileMimeType=null&__fileName=null&__fileSize=null&__mediaTraceId=null&url=null)",https://gopherapp.atlassian.net/browse/G40-55
G40-58,Bug,Gopher Location Not Updating in Real Time During Active Requests,Done,Highest,Done,Wilson Correa Padilla,John Newbury,Gopher-Go,Gopher Go App,2025-01-14,2026-03-25,"**Type:** Bug / Functional Gap **Priority:** High **Component:** GPS / Location Services / Worker App **Reporter:** John **Environment:** Production (iOS + Android) --- ## **Summary** During active requests, the **Gopher location icon does not update or move in real time** on the customer’s map. This is caused by the Gopher app not running in the foreground and the device disabling GPS in the background. Real-time tracking is critical for request monitoring, ETA accuracy, and overall trust. --- ## **Description** When a request is marked **In Progress**, the requester expects to see the Gopher’s movement live on the map. However: * The Gopher icon remains frozen * No location updates occur unless the Gopher reopens the app * Many devices are disabling GPS when the app is in the background * Some Gophers fully close the app, eliminating location updates entirely This results in inaccurate ETAs, poor transparency, and negative user experience. --- ## **Business Impact** * Requesters believe Gophers are not moving, causing cancellations and support messages * Workers appear unreliable even though they are en route * Trust and transparency are compromised * Essential for deliveries, ride share–style jobs, and any location-based service * Impacts worker safety and accountability --- ## **Requirements** ✅ **1. Implement reliable background location updates for Gophers during any active request** * App must continue sending GPS updates even when minimized * Must comply with iOS/Android background location requirements ✅ **2. Add a persistent location-tracking state when a job is In Progress** * Backend must continue receiving updates at defined intervals * App should NOT rely on the user keeping the app open ✅ **3. Implement fallback logic if GPS is disabled** * If OS blocks GPS → show a “Location Paused” or similar state (optional) * Prompt Gopher to re-enable location permissions ✅ **4. Real-time map should update requester view every few seconds** * Position smoothing and interpolation may be needed for accurate movement * Must match experience similar to DoorDash, Uber, etc. ✅ **5. Detect if the app is force-closed** * Send reminder notification to reopen as needed * Log event for debugging --- ## **Acceptance Criteria** **AC1 — Requester sees the Gopher icon updating in real time (<5s intervals) during active requests.** **AC2 — Gopher app continues to transmit GPS location while in:** * Foreground * Background * Screen locked **AC3 — Location update rate remains stable regardless of OS power-saving modes.** **AC4 — If the app cannot access GPS, a fallback state is logged and UI can display “Location Not Available.”** **AC5 — No scenario should result in a frozen Gopher icon unless the worker intentionally disables location permissions.** --- ## **Technical Notes** * iOS requires **Background Location Mode** enabled in capabilities * Android requires **ACCESS_BACKGROUND_LOCATION** and battery optimization exemptions * Must use foreground service / persistent notification on Android for tracking reliability * Backend should timestamp and validate location freshness * May need socket or SSE updates on the customer side <custom data-type=""smartlink"" data-id=""id-0"">https://www.figma.com/design/g7DWLbI86O6SqiwITY7jeL/%E2%9C%8F%EF%B8%8F-Gopher-UI_UX?node-id=94-10223</custom>",https://gopherapp.atlassian.net/browse/G40-58
G40-59,Bug,Gopher Go - Refer App - Refer Yourself Grammar Issue,Canceled,Lowest,Done,,John Newbury,worker,Gopher Go App,2025-01-26,2026-06-15,"### **As a** Gopher Go user viewing the **Refer Yourself** section, ### **I want** the header text to read correctly without unnecessary words, ### **So that** the description appears grammatically correct and professional. ‌ ### **💡 Context / Background** ‌ * In the **Refer App → Refer Yourself** screen, the current header contains the word **“Personally”**, which makes the text grammatically awkward. * The fix involves **removing the word “Personally”** from the header only. * The bottom descriptive text should remain as follows: “This feature allows you to send your friends, family and others the option to add you as a Favorite Gopher. Now when they make a request, they can request you specifically.” 📎 _Screenshot reference:_ ![](blob:https://media.staging.atl-paas.net/?type=file&localId=null&id=b5f033e7-66d8-48f8-88ef-e0ff446813d2&&collection=&height=3120&occurrenceKey=null&width=1440&__contextId=null&__displayType=null&__external=false&__fileMimeType=null&__fileName=null&__fileSize=null&__mediaTraceId=null&url=null) ‌ ### **✅ Acceptance Criteria (Given / When / Then)** ‌ **Scenario 1 – Header text updated** * **Given** the user navigates to **Gopher Go → Refer App → Refer Yourself**, * **When** the page loads, * **Then** the header must display **without** the word “Personally.” ‌ **Scenario 2 – Descriptive text remains correct** * **Given** the user views the bottom description on the same page, * **When** the text is displayed, * **Then** it must match exactly the following: “This feature allows you to send your friends, family and others the option to add you as a Favorite Gopher. Now when they make a request, they can request you specifically.” ‌ ### **🧠 Dependencies / Notes** ‌ * Verify text source (hardcoded in UI vs. localization/config file). * Ensure no duplicate strings elsewhere in the “Refer App” feature still contain “Personally.” * Screenshot available for quick visual confirmation. ‌ ### **🧪 QA Notes:** ‌ * Confirm header no longer includes “Personally.” * Verify the descriptive paragraph matches exactly as specified. * Check display on both iOS and Android apps. * Confirm layout and spacing remain unaffected.",https://gopherapp.atlassian.net/browse/G40-59
G40-60,Bug,"Admin Panel / Gopher Go — Capture GPS and timestamp when a Gopher taps ""Requestor not present"" / ""No-Show,"" matching the existing capture pattern used by other status updates (ref: order 38057)",Canceled,Low,Done,John Newbury,John Newbury,worker,"Gopher Admin Panel, Gopher Go App",2025-01-29,2026-07-03,"## 🧑‍💻 As a Gopher admin reviewing request logs to investigate no-show disputes, ## 🎯 I want the Gopher's ""Requestor not present"" / ""No-Show"" action to capture the GPS location and timestamp — the same way other status updates already do — ## ✅ So that I have the evidence I need to fairly evaluate no-show situations (was the Gopher actually at the address? at what time?), instead of relying on the Gopher's word alone. --- ## 💡 Context / Background * During the completion cycle of a request, a Gopher can mark the Requestor as not present (the ""No-Show"" / ""Requestor not present"" action). * For every **other** status update in the completion flow, the app captures the Gopher's GPS coordinates and a server-side timestamp — these populate the order's activity log and are used for disputes, support, and pattern detection. * This one status update does **not** capture either field. That gap means we have no objective evidence of where or when the Gopher claimed the Requestor wasn't there, which is exactly the data needed when a no-show is disputed. * **Reference order for reproduction:** 38057. --- ## 🚫 Current Behavior * When a Gopher taps ""Requestor not present"" / ""No-Show"" during a request's completion cycle, the action is recorded but no GPS coordinates or timestamp are captured against that action in the order log. * Other status updates in the same flow do capture GPS + timestamp correctly, so the gap is specific to this one event. --- ## ✅ Expected Behavior * When the Gopher taps ""Requestor not present"" / ""No-Show,"" the system captures: * **GPS coordinates** (latitude / longitude) of the Gopher at the moment of the tap. * **Server-side timestamp** of when the action was recorded. * Both fields are written to the order's activity log alongside the no-show event, in the same format as existing status-update entries. * The capture follows the **same pattern used by other status updates** — same location-permission handling, same fallback for stale / unavailable location (e.g., last-known + staleness flag), same persistence path. * The captured data is visible in the **Admin Panel request log** for the order, in the same way other status update timestamps and locations appear today. --- ## 🧪 Acceptance Criteria **Scenario 1 — GPS and timestamp captured when no-show is tapped** * **Given** a Gopher is in the completion cycle of a request, * **When** they tap ""Requestor not present"" / ""No-Show,"" * **Then** the order's activity log records the action with the Gopher's GPS coordinates and a server-side timestamp. **Scenario 2 — Data is visible in the Admin Panel request log** * **Given** a no-show event has been recorded for an order, * **When** an admin opens the order's request log in the Admin Panel, * **Then** the no-show entry displays its GPS coordinates and timestamp in the same format as other status update entries. **Scenario 3 — Capture pattern matches other status updates** * **Given** a side-by-side comparison of the no-show entry and other status-update entries on the same order, * **When** an admin inspects them, * **Then** the format and presence of GPS / timestamp data is consistent across all entries. **Scenario 4 — Stale or unavailable location handled the same way** * **Given** location services are unavailable, denied, or stale at the moment of the no-show tap, * **When** the action is recorded, * **Then** the same fallback used by other status updates is applied (e.g., last-known location + staleness flag, or null with a clear indicator) — the event itself is still recorded. **Scenario 5 — Reference order regression check** * **Given** the conditions of order 38057 are reproduced on a test order, * **When** the no-show action is triggered, * **Then** GPS and timestamp are captured (whereas on order 38057 today they are not). --- ## 📐 Business Rules * The no-show event must capture both **GPS coordinates** and a **server-side timestamp**. * Capture behaviour follows the same pattern as other status updates in the request completion flow — no special-case handling for this action. * The captured data appears in the Admin Panel request log alongside other status events. * This is the **Gopher Go** app (Gopher-side action); the data flows server-side into the shared order activity log visible in the Admin Panel. --- ## 🔎 Implementation Considerations * The fix is almost certainly a small one: the existing status-update code path captures GPS + timestamp, and this one action's handler is missing that step. Find the handler for ""Requestor not present"" / ""No-Show"" and call the same capture helper used by sibling status updates. * Confirm the capture is server-side timestamp (not client clock) to prevent tampering or clock-drift issues. * Do not introduce a new schema for the no-show entry — reuse whatever activity-log row shape other status updates use. * No backend migration is required — historical no-show entries that were recorded without GPS/timestamp remain as-is. --- ## 🧪 QA Notes * Reproduce the bug against order 38057's flow on a test account: trigger a no-show event without the fix and confirm no GPS/timestamp is captured. * Apply the fix, trigger the same flow, and confirm GPS coordinates and timestamp are recorded in the activity log. * Open the Admin Panel request log and confirm the no-show entry shows its GPS and timestamp in the same format as other status update entries. * Disable location permission on the test device and trigger the no-show — confirm the action is still recorded with the same fallback that other status updates use. * Confirm no regression to any other status update's GPS/timestamp capture. * Test on both iOS and Android. --- ## 🧠 Dependencies / Notes * Depends on the existing status-update GPS/timestamp capture pattern being modifiable to cover this one missing event. * Out of scope: backfilling GPS/timestamp on historical no-show records (we don't have the location data; only going-forward events will have it). * Out of scope: any UI changes to the Gopher-facing no-show flow — the fix is purely in the data capture path. ![](blob:https://media.staging.atl-paas.net/?type=external&localId=null&id=&&collection=&height=null&occurrenceKey=null&width=null&__contextId=null&__displayType=null&__external=false&__fileMimeType=null&__fileName=null&__fileSize=null&__mediaTraceId=null&url=blob%3Ahttps%3A%2F%2Fmedia.staging.atl-paas.net%2F%3Ftype%3Dfile%26localId%3Dnull%26id%3Daeec6a5e-90ff-45d3-ab08-2862f9878ed9%26%26collection%3D%26height%3D408%26occurrenceKey%3Dnull%26width%3D253%26__contextId%3Dnull%26__displayType%3Dnull%26__external%3Dfalse%26__fileMimeType%3Dnull%26__fileName%3Dnull%26__fileSize%3Dnull%26__mediaTraceId%3Dnull%26url%3Dnull)",https://gopherapp.atlassian.net/browse/G40-60
G40-63,Task,AI - Request - Identify Keywords In Description To Alert Incorrect Category,Canceled,Lowest,Done,,John Newbury,request,,2025-02-22,2026-07-03,"When any previously documented word is identified when the “age-restricted items” button is not selected, create a pop-up for the user and make the request age-restricted. If not corrected, this users account will be flagged.",https://gopherapp.atlassian.net/browse/G40-63
G40-65,Task,Gopher App - Completed Request Confirmation Screen Update,In Progress,Highest,,John Newbury,John Newbury,request,,2025-06-24,2026-07-03,"Requestors can have multiple active requests running simultaneously. When a completion notification fires, the current confirmation screen does not specify which request was completed, leaving the Requestor unable to quickly identify it. A ""Tap to view details"" link must be added to the completion modal so the Requestor can immediately see which request has been completed. ## 🧑‍💻 As a Requestor who may have multiple active requests at the same time, ## 🎯 I want the completion confirmation screen to clearly identify which specific request has been completed, ## ✅ So that I am never confused about which of my requests was just finished and can quickly review the details. ## 💡 Context / Background * Some Requestors run multiple requests concurrently, making it ambiguous which request a generic completion notification refers to. * The current completion confirmation screen does not surface any request-specific identifying information. * A ""Tap to view details"" link must be added to the completion modal, taking the Requestor directly to the details of the completed request. ## ❌ Current Behavior * The completion confirmation screen does not specify which request has been completed * Requestors with multiple active requests have no way to quickly identify which one was just finished from the confirmation screen ## ✅ Expected Behavior * The completion confirmation modal includes a ""Tap to view details"" link * Tapping the link opens a modal or navigates the Requestor directly to the details of the specific request that was just completed * This behavior applies regardless of how many active requests the Requestor has ## ✅ Acceptance Criteria ### Scenario 1 – Tap to view details link appears on completion modal * **Given** a Gopher marks a request as completed * **When** the completion confirmation modal is shown to the Requestor * **Then** a ""Tap to view details"" link is visible on the modal ### Scenario 2 – Tapping the link shows the correct completed request details * **Given** the Requestor taps ""Tap to view details"" on the completion modal * **When** the link is tapped * **Then** the details of the specific request that was just completed are displayed (including any pics) * **And** no other active requests are shown or confused with it ### Scenario 3 – Behavior is consistent for single and multiple active requests * **Given** a Requestor has one or more active requests * **When** any request is completed * **Then** the ""Tap to view details"" link always appears and always links to the correct completed request ## ⚙️ Business Rules * The ""Tap to view details"" link must always reference the specific Order # of the request that was just completed. * The link must appear on the completion modal for all Requestors, regardless of how many active requests they have. * Tapping the link must never navigate to a different request. ## 🧠 Dependencies / Notes * The completion modal must pass the correct Order ID to the ""Tap to view details"" link at the time of completion. * Figma design reference: https://www.figma.com/design/aRFH8dqUfSHLJTb89VZYNh/Jira-Tickets?node-id=85-5288 ## 🧪 QA Notes * Test with a Requestor who has a single active request — confirm ""Tap to view details"" appears and links to the correct request. * Test with a Requestor who has multiple active requests — confirm the link identifies and displays only the completed request. * Verify the modal and link render correctly at the point of completion notification. * Test on both iOS and Android.",https://gopherapp.atlassian.net/browse/G40-65
G40-68,Task,"Gopher App - Submitted Request - Gophers Interested, Bids or Counter Offers View - View Profile - Update Previous Job Views",In Progress,High,,John Newbury,John Newbury,worker,,2024-07-09,2026-07-03,"When a Requestor views a Gopher’s profile from the Gophers Interested, Bids, or Counter Offers screen, the previous jobs view must be updated to offer two viewing options: all previous jobs, and a filtered view showing only jobs matching the top-level category of the currently active request. The category-filtered view must dynamically reflect the relevant category and gracefully handle cases where the Gopher has no prior jobs in that category. ## 🧑‍💻 As a Requestor reviewing a Gopher’s profile from the Gophers Interested, Bids, or Counter Offers screen, ## 🎯 I want to be able to view all of a Gopher’s previous jobs or filter to only see jobs relevant to my current request category, ## ✅ So that I can quickly assess whether a Gopher has relevant experience for the type of request I am posting. ## 💡 Context / Background * When a Requestor taps View Profile on a Gopher from the Gophers Interested, Bids, or Counter Offers list, they can see the Gopher’s previous job history. * Currently the view shows all previous jobs without any filtering option. * Two viewing options must be available, with the full job history shown by default. * The category filter must use the top-level category of the currently broadcast request, mapping to one of four values: **Delivery**, **Need A Ride**, **Service**, or **Other** * Example: if the active request is Service → Home Service → Handyman, the filtered view label reads ""View Previous Service Jobs Only"" and shows only that Gopher’s past Service jobs. * If the Gopher has no prior jobs in the relevant category, an empty state message is displayed. ## 💼 Viewing Options * **View All Previous Jobs** — default view, shows the Gopher’s complete job history across all categories * **View Previous \[Category\] Jobs Only** — filtered view showing only jobs that match the top-level category of the currently broadcast request. The category label is dynamic and reflects one of: Delivery, Need A Ride, Service, or Other ## 🗒️ Dynamic Category Label Examples * Active request: Service → Home Service → Handyman → filter label: **View Previous Service Jobs Only** * Active request: Delivery → Convenience Store → filter label: **View Previous Delivery Jobs Only** * Active request: Need A Ride → filter label: **View Previous Need A Ride Jobs Only** * Active request: Other → filter label: **View Previous Other Jobs Only** ## ❌ Current Behavior * The View Profile screen displays all previous jobs with no filtering option * There is no way for a Requestor to quickly identify category-relevant experience for the Gopher they are considering ## ✅ Expected Behavior * The View Profile screen displays View All Previous Jobs by default * Below the default view, a second option reads ""View Previous \[Category\] Jobs Only"" with the category dynamically populated based on the active request * Tapping the category filter shows only jobs matching the top-level category of the active request * If the Gopher has no jobs in the relevant category, an empty state is shown: ""No Previous \[Category\] Jobs"" ## ✅ Acceptance Criteria ### Scenario 1 – Default view shows all previous jobs * **Given** a Requestor taps View Profile on a Gopher from the Interested, Bids, or Counter Offers list * **When** the profile screen loads * **Then** all previous jobs are shown by default * **And** the ""View Previous \[Category\] Jobs Only"" option is visible below ### Scenario 2 – Category filter label reflects the active request’s top-level category * **Given** the active request is in the Service category * **When** the Requestor views a Gopher’s profile * **Then** the filter option reads ""View Previous Service Jobs Only"" ### Scenario 3 – Category filter shows only matching jobs * **Given** the Requestor taps ""View Previous \[Category\] Jobs Only"" * **When** the filtered view loads * **Then** only previous jobs matching the top-level category of the active request are displayed * **And** jobs from other categories are excluded ### Scenario 4 – Empty state when Gopher has no jobs in the relevant category * **Given** the Gopher has no previous jobs in the active request’s category * **When** the Requestor taps the category filter * **Then** an empty state message is displayed: ""No Previous \[Category\] Jobs"" ### Scenario 5 – Category label is correct across all four top-level categories * **Given** the active request belongs to any of the four top-level categories * **When** the Requestor views a Gopher’s profile * **Then** the filter label correctly reads Delivery, Need A Ride, Service, or Other respectively ## ⚙️ Business Rules * View All Previous Jobs is always the default view when the profile screen loads. * The category filter label must always map to one of the four top-level categories: **Delivery**, **Need A Ride**, **Service**, or **Other** — sub-categories are not used in the label. * The category is determined by the top-level category of the currently active/broadcast request, not the Gopher’s profile. * If a Gopher has no jobs in the relevant category, the empty state must be shown — no jobs from other categories should appear as a fallback. * This feature applies when viewing a profile from the Gophers Interested, Bids, and Counter Offers screens. ## 🧠 Dependencies / Notes * The profile view must receive the top-level category of the active request at the time it is opened to dynamically populate the filter label and apply the correct filter. * Previous jobs must be tagged or queryable by top-level category on the backend. * Figma design reference: https://www.figma.com/design/aRFH8dqUfSHLJTb89VZYNh/Jira-Tickets?node-id=83-7733 ## 🧪 QA Notes * Test from a Service request — confirm filter label reads ""View Previous Service Jobs Only"" and shows only Service jobs. * Test from a Delivery request — confirm filter label reads ""View Previous Delivery Jobs Only"". * Test from a Need A Ride request — confirm filter label reads ""View Previous Need A Ride Jobs Only"". * Test from an Other request — confirm filter label reads ""View Previous Other Jobs Only"". * Test with a Gopher who has jobs in the relevant category — confirm only those jobs appear in the filtered view. * Test with a Gopher who has no jobs in the relevant category — confirm the empty state ""No Previous \[Category\] Jobs"" is shown. * Confirm View All Previous Jobs is always the default when the profile loads. * Test from Gophers Interested, Bids, and Counter Offers screens — confirm behavior is consistent across all three. * Test on both iOS and Android.",https://gopherapp.atlassian.net/browse/G40-68
G40-69,Task,"Gopher Go - Active Request - SMS Message To Gopher Who Has Accepted A ""Need ASAP"" Request But Not Started After 10 min.",To Do,High,,,John Newbury,worker,,2024-06-11,2026-07-03,"When a Gopher accepts a ""Need ASAP"" request but fails to update the status to In Progress within 10 minutes, an automated SMS must be sent to prompt them to take action. If the request remains inactive after the SMS, push notification follow-ups must fire every 5 minutes until the Gopher updates the request to In Progress. ## 🧑‍💻 As a Gopher who has accepted a Need ASAP request, ## 🎯 I want to be reminded if I have not started a request within 10 minutes of accepting it, ## ✅ So that I do not miss or delay a time-sensitive request and the Requestor receives timely service. ## 💡 Context / Background * ""Need ASAP"" requests are time-sensitive by nature — a Gopher who accepts but does not start creates a poor experience for the Requestor. * If a Gopher accepts a request but does not update the status to In Progress within 10 minutes, the system has no current mechanism to alert them. * An automated SMS is sent at the 10-minute mark as the primary alert, followed by push notification reminders at 5-minute intervals until the Gopher takes action. * This notification sequence applies only to Need ASAP requests, not scheduled requests. ## 📱 Notification Sequence * **T+10 minutes:** SMS sent to the Gopher * **T+15, T+20, T+25... (every 5 minutes):** Push notification follow-ups sent until the Gopher updates the request to In Progress * **Notifications stop** the moment the Gopher updates the request status to In Progress ## 💬 SMS Message Template Hi \[First Name\], Your Gopher request hasn’t had any activity since you accepted it. Please reach out to your customer ASAP and update the app to in-progress. Thanks! Gopher, Inc ## ❌ Current Behavior * No SMS or push notification is sent when a Gopher accepts a Need ASAP request but fails to start it within 10 minutes * There is no automated mechanism to prompt the Gopher to take action after acceptance ## ✅ Expected Behavior * 10 minutes after a Gopher accepts a Need ASAP request without updating to In Progress, an automated SMS is sent using the template above * Every 5 minutes after the initial SMS, a push notification follow-up is sent until the request is updated to In Progress * All notifications stop immediately when the Gopher updates the request status to In Progress ## ✅ Acceptance Criteria ### Scenario 1 – SMS fires at 10 minutes of inactivity after acceptance * **Given** a Gopher has accepted a Need ASAP request * **When** 10 minutes pass without the request being updated to In Progress * **Then** an automated SMS is sent to the Gopher using the defined message template ### Scenario 2 – Push notifications follow every 5 minutes after the SMS * **Given** the initial SMS has been sent and the request is still not updated to In Progress * **When** each 5-minute interval passes * **Then** a push notification reminder is sent to the Gopher ### Scenario 3 – All notifications stop when Gopher updates to In Progress * **Given** SMS and/or push notifications have been sent * **When** the Gopher updates the request status to In Progress * **Then** all scheduled notifications are cancelled immediately * **And** no further SMS or push notifications are sent for this request ### Scenario 4 – Notification sequence does not fire for scheduled requests * **Given** a Gopher has accepted a scheduled (non-Need ASAP) request * **When** 10 minutes pass without an In Progress update * **Then** no SMS or push notification is sent ## ⚙️ Business Rules * This notification sequence applies exclusively to Need ASAP requests. * The 10-minute timer starts from the moment the Gopher accepts the request, not from when the request was created. * The initial alert is an SMS; all follow-ups are push notifications at 5-minute intervals. * The notification sequence must stop immediately when the Gopher updates the request to In Progress. * The SMS must dynamically populate the Gopher’s first name. ## 🧠 Dependencies / Notes * A background timer or job must be triggered on request acceptance for Need ASAP requests to track inactivity. * The timer and notification sequence must be cancelled immediately when the request status changes to In Progress. * SMS delivery requires an active SMS provider integration (e.g. Twilio or equivalent). * Push notification infrastructure must support scheduled/recurring notifications that can be cancelled on demand. ## 🧪 QA Notes * Accept a Need ASAP request and do not update to In Progress — confirm SMS arrives at exactly the 10-minute mark with correct Gopher name. * Continue waiting without updating — confirm push notifications arrive at 5-minute intervals after the SMS. * Update the request to In Progress at any point — confirm all pending notifications are cancelled and no further alerts fire. * Accept a scheduled request and wait 10+ minutes without updating — confirm no SMS or push notifications are sent. * Test on both iOS and Android.",https://gopherapp.atlassian.net/browse/G40-69
G40-70,Task,"Gopher HQ Dashboard — replace Active Admin ""Admin Panel"" + embed Gopher iQ (Gopher Brain); plug into DB",In Progress,Lowest,,John Newbury,John Newbury,spine,,2023-06-06,2026-07-03,"**This is a plug-in job, not a build.** A complete, working internal console — the **Gopher HQ Dashboard** — already exists and runs on **real production data**. It is intended to **completely replace the current Active Admin “Admin Panel,”** and it **embeds Gopher iQ — the “Gopher Brain.”** The developer’s job is to connect it to the production database + admin auth. No metrics or redesign work. **▶ Full developer handoff (red carpet):** `docs/handoff/G40-70-gopher-hq-dashboard.md` **▶ Artifact lives in:** `Documentation/Dashboard/` (built output: `output/Gopher_HQ_Dashboard.html`). ### What’s built * \~30 views across Operate / Grow / Platforms / Reports / Listen / Tools (orders, users, revenue, funnels, ops cadence, marketplace, moderation, financials, geo/DMA, retention). * Fed by the Gopher admin API via `gopher_pull.py` → `refresh.py` → `regen_*.py` → `build.py`. The `regen_*.py` transforms **are** the query spec (source table → metric block map is in the handoff). * Locked definitions: **GMV = delivered-only ≈ $1.23M**; `delivered` = finished. * **Gopher iQ (the Brain):** routing keyword vocab (8 categories, \~1,481 words), 182-entry FAQ, pill spec, and an **internal** moderation lexicon (11 policies / \~3,613 phrases). Includes an in-dashboard triage portal and a collision-guarded **propose→promote** write path. Public stores feed the customer-app search pill; moderation stays internal (exposure guard enforced by `build_iq.py`). ### What the developer plugs in (engineering only — no open product questions) 1. **Serve from the production DB** instead of baked CSV snapshots — re-point the existing transforms; paginate the 3 big row stores (`orders_full`, `users_sample`, `_allmsgs`). Real-time is the end state; automating the snapshot on a schedule is the fast first phase. 2. **Admin auth + retire the old Admin Panel** (real PII — auth is non-negotiable; owner-only for iQ + write-backs). 3. **Wire the write-backs:** moderation actions (`app_part4.js action()` BACKEND SEAM), iQ promote endpoint, pricing/promo. 4. Connect `moderation_rules.json` to the **G40-35** `POST /messages/precheck` (one moderation source of truth, not two). Automate the Invites CSV (last manual dataset). Everything — how it’s built, what it pulls from the DB, and how Gopher iQ is embedded — is documented in the handoff so implementation is turnkey.",https://gopherapp.atlassian.net/browse/G40-70
